Id,Group,Group_name,Complex_name,Status,Alternative_name,Protein,UniProt_ID,PMID_complex,Function,PMID_function,Target,Specific_target,Product,Uniprot_ID_target,PMID_target,Comment
37,7,HDAC,NuRD,#,"NRD, CHD3/CHD4","HDAC1, HDAC2, RBBP4, RBBP7, MTA1, MTA2, MTA3, MBD2, MBD3, p66, CHD3 or CHD4, LSD1","CHD3_HUMAN, CHD4_HUMAN, HDAC1_HUMAN, HDAC2_HUMAN, KDM1A_HUMAN, MBD2_HUMAN, MBD3_HUMAN, MTA1_HUMAN, MTA2_HUMAN, MTA3_HUMAN, (P66A_HUMAN|P66B_HUMAN), RBBP4_HUMAN, RBBP7_HUMAN","19644445, 10589671, 17289569, 22108599","histone deacetylation complex, histone methylation complex, chromatin remodeling complex","10589671, 22108599",histone,H3,#,"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN",11850414,The nucleosome remodeling and histone deacetylation complex.
38,7,HDAC,BHC,#,BRAF-HDAC,"HDAC1, HDAC2, HMG20B/BRAF35, KDM1A, RCOR1/CoREST, PHF21A/BHC80, may also contain ZMYM2, ZNF217, ZMYM3, GSE1 and GTF2I","GSE1_HUMAN?, GTF2I_HUMAN?, HDAC1_HUMAN, HDAC2_HUMAN, HM20B_HUMAN, KDM1A_HUMAN, PF21A_HUMAN, RCOR1_HUMAN, ZMYM2_HUMAN?, ZMYM3_HUMAN?, ZN217_HUMAN?",12493763,histone deacetylation complex,12493763,histone,#,#,#,#,A corepressor complex that represses transcription of neuron-specific genes in non-neuronal cells.
39,7,HDAC,MeCP1,#,#,"MBD2, HDAC1 and HDAC2","HDAC1_HUMAN, HDAC2_HUMAN, MBD2_HUMAN",10471499,"histone deacetylation complex, histone demethylation complex",10471499,histone,#,#,#,#,#
40,7,HDAC,mSin3A,#,"Sin3, Sin3A","SIN3A, SIN3B, RBBP4, RBBP7, SAP30, BRMS1, HDAC1 and HDAC2, BRMS1L, SUDS3, ARID4A, SAP18, SAP180","ARI4A_HUMAN, ARI4B_HUMAN, BRMS1_HUMAN, BRM1L_HUMAN, HDAC1_HUMAN, HDAC2_HUMAN, SAP18_HUMAN, SAP30_HUMAN, SDS3_HUMAN, SIN3A_HUMAN, SIN3B_HUMAN, RBBP4_HUMAN, RBBP7_HUMAN","12724404, 15451426",histone deacetylation complex,12670868,histone,#,#,#,#,#
41,7,HDAC,core HDAC,#,#,"HDAC1, HDAC2, RBBP4 and RBBP7","HDAC1_HUMAN, HDAC2_HUMAN, RBBP4_HUMAN, RBBP7_HUMAN","12711221, 22108599",histone deacetylation complex,12711221,histone,#,#,#,#,"Original name ""core histone deacetylase complex""."
42,7,HDAC,mSin3A-like complex,#,Sin3/HDAC1 corepressor complex,"SIN3A, HDAC1, HDAC2, RBBP4/RbAp48, RBBP7/RbAp46, SAP30 and ING2","HDAC1_HUMAN, HDAC2_HUMAN, ING2_HUMAN, SAP30_HUMAN, SIN3A_HUMAN, RBBP4_HUMAN, RBBP7_HUMAN","11784859, 16387653",histone deacetylation complex,16387653,histone,#,#,#,#,#
43,8,PcG and PcG-like,PRC1,#,"PRC1.2, PRC1.4",#,"(CBX2_HUMAN|CBX4_HUMAN|CBX6_HUMAN|CBX7_HUMAN|CBX8_HUMAN), (BMI1_HUMAN|PCGF1_HUMAN|PCGF2_HUMAN|PCGF3_HUMAN|PCGF5_HUMAN|PCGF6_HUMAN), (PHC1_HUMAN|PHC2_HUMAN|PHC3_HUMAN), (RING1_HUMAN|RING2_HUMAN), (SCMH1_HUMAN| SCML2_HUMAN)","12167701, 22325352, 24217316",Polycomb group complex,23418308,histone,H2AK119,H2AK119ub1,"H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN",23418308,"A complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility. May modulate the levels of histone .H3K4Me3 by activating KDM5D histone demethylase."
44,8,PcG and PcG-like,BCOR,#,"PRC1.1, RING2-KDM2B","BCOR/BCORL1, RYBP/YAF2, PCGF1, RING1 or RNF2/RING2, KDM2B, USP7 and SKP1","(BCOR_HUMAN|BCORL_HUMAN), KDM2B_HUMAN, PCGF1_HUMAN, (RING1_HUMAN|RING2_HUMAN), (RYBP_HUMAN|YAF2_HUMAN), SKP1_HUMAN, UBP7_HUMAN","16943429, 22325352, 24217316",Polycomb like complex,16943429,histone,H2AK119,H2AK119ub1,"H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN",#,"A complex required to maintain the transcriptionally repressive state of some genes, such as BCL6 and the cyclin-dependent kinase inhibitor, CDKN1A."
45,8,PcG and PcG-like,RING2-L3MBTL2,#,PRC1.6,"RING2, RYBP/YAF2, L3MBTL2, E2F6, PCGF6, CBX3, HDAC1/HDAC2, Dp-1, WDR5, MGA","CBX3_HUMAN, E2F6_HUMAN, (HDAC1_HUMAN|HDAC2_HUMAN), LMBL2_HUMAN, MGAP_HUMAN, PCGF6_HUMAN, (RING1_HUMAN|RING2_HUMAN), (RYBP_HUMAN|YAF2_HUMAN), TFDP1_HUMAN, WDR5_HUMAN","22325352, 24217316",Polycomb like complex,"22325352, 24217316",histone,H2AK119,H2AK119ub1,"H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN",#,#
46,8,PcG and PcG-like,RING2-FBRS,#,"PRC1.3, PRC1.5","RING1/RING2, FBRS/FBRSL1, RYBP/YAF2, PCGF3/PCGF5, CSNK2A1","CSK21_HUMAN, (FBRS_HUMAN|FBSL_HUMAN), (PCGF3_HUMAN|PCGF5_HUMAN), (RING1_HUMAN|RING2_HUMAN), (RYBP_HUMAN|YAF2_HUMAN)","22325352, 24217316",Polycomb like complex,"22325352, 24217316",histone,H2AK119,H2AK119ub1,"H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN",#,#
47,8,PcG and PcG-like,PRC2,#,#,"EED, EZH1, SUZ12, RBBP4, RBBP7, JARID2 or PHF1 or PCL and AEBP2","AEBP2_HUMAN, (JARD2_HUMAN|PHF1_HUMAN|MTF2_HUMAN|PHF19_HUMAN)?, EED_HUMAN, (EZH1_HUMAN|EZH2_HUMAN), SUZ12_HUMAN, (RBBP4_HUMAN|RBBP7_HUMAN)","20075857, 23104054, 23273982, 22325352, 24217316",Polycomb group complex,"15225548, 20075857",histone,"H3K9, H3K27","H3K9me1, H3K9me2, H3K9me3, H3K27me1, H3K27me2, H3K27me3","H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN","15225548, 20075857","Methylates 'Lys-27' of histone H3, leading to transcriptional repression of the affected target gene. Able to mono-, di- and trimethylate 'Lys-27' of histone H3 to form H3K27me1, H3K27me2 and H3K27me3, respectively. Required for embryonic stem cell derivation and self-renewal, suggesting that it is involved in safeguarding embryonic stem cell identity. Compared to EZH2-containing complexes, EZH1 is less abundant in embryonic stem cells, has weak methyltransferase activity and plays a less critical role in forming H3K27me3, which is required for embryonic stem cell identity and proper differentiation. The PRC2/EED-EZH1 is less abundant than the PRC2/EED-EZH2 complex, has weak methyltransferase activity and compacts chromatin in the absence of the methyltransferase cofactor S-adenosyl-L-methionine (SAM). The PRC2/EED-EZH2 complex may also serve as a recruiting platform for DNA methyltransferases, thereby linking two epigenetic repression systems. Genes repressed by the PRC2/EED-EZH2 complex include HOXC8, HOXA9, MYT1 and CDKN2A."
48,9,HMT,COMPASS,#,"SET1, Set1/Ash2","SETD1A, WDR5, WDR82P1, RBBP5, ASH2L/ASH2, CXXC1/CFP1, HCFC1 and DPY30","ASH2L_HUMAN, CXXC1_HUMAN, DPY30_HUMAN, HCFC1_HUMAN, RBBP5_HUMAN, (SET1A_HUMAN|SET1B_HUMAN), WDR5_HUMAN, WDR82_HUMAN",16253997,histone methylation complex,12670868,histone,H3K4,H3K4me3,"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN",12670868,#
49,9,HMT,Menin-associated_HMT,#,#,"KMT2B/MLL4, MEN1, ASH2L, RBBP5, DPY30 and WDR5","ASH2L_HUMAN, DPY30_HUMAN, KMT2B_HUMAN, MEN1_HUMAN, RBBP5_HUMAN, WDR5_HUMAN",17500065,histone methylation complex,17500065,histone,H3K4,H3K4me,"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN",16604156,#
50,9,HMT,MLL-HCF,#,#,"KMT2A/MLL1, MEN1, ASH2L, RBBP5, DPY30, WDR5, HCFC1 and HCFC2","ASH2L_HUMAN, DPY30_HUMAN, HCFC1_HUMAN, HCFC2_HUMAN, KMT2A_HUMAN, MEN1_HUMAN, RBBP5_HUMAN, WDR5_HUMAN",15199122,histone methylation complex,15199122,histone,#,#,#,#,#
51,9,HMT,methylosome,#,20S PRMT5-containing methyltransferase complex,"PRMT5, CLNS1A and WDR77","ANM5_HUMAN, ICLN_HUMAN, MEP50_HUMAN",11756452,histone methylation complex,11756452,histone,H2AR,H2ARme2,#,#,#
52,9,HMT,eNoSc,#,#,"SIRT1, SUV39H1 and RRP8","RRP8_HUMAN, SUV91_HUMAN, SIR1_HUMAN",18485871,"histone methylation complex, histone deacetylation complex",18485871,"histone, DNA","H3K9, H3K9ac",H3K9me,#,#,#
53,10,MLL,CHD8,#,"MLL1/MLL, CHD8","ASH2L, RBBP5, WDR5, DPY30, MLL and the facultative components PAGR1, BAP18, CHD8, E2F6, HCFC1, HCFC2, HSP70, INO80C, KDM6A, KANSL1, LAS1L, MAX, MCRS1, MEN1, MGA, KAT8/MOF, NCOA6, PAXIP1/PTIP, PELP1, PHF20, PRP31, RING2, RUVB1/TIP49A, RUVB2/TIP49B, SENP3, TAF1, TAF4, TAF6, TAF7, TAF9, TEX10 and alpha- and beta-tubulin","ASH2L_HUMAN, BAP18_HUMAN?, CHD8_HUMAN, DPY30_HUMAN, E2F6_HUMAN?, HCFC1_HUMAN?, HCFC2_HUMAN?, HSP71_HUMAN?, IN80C_HUMAN?, KANL1_HUMAN?, KAT8_HUMAN?, KDM6A_HUMAN?, KMT2A_HUMAN, LAS1L_HUMAN?, MAX_HUMAN?, MCRS1_HUMAN?, MEN1_HUMAN?, MGAP_HUMAN?, NCOA6_HUMAN?, PAGR1_HUMAN?, PAXI1_HUMAN?, PELP1_HUMAN?, PHF20_HUMAN?, PRP31_HUMAN?, RBBP5_HUMAN, RING2_HUMAN?, RUVB1_HUMAN?, RUVB2_HUMAN?, SENP3_HUMAN?, TAF1_HUMAN?, TAF4_HUMAN?, TAF6_HUMAN?, TAF7_HUMAN?, TAF9_HUMAN?, TEX10_HUMAN?, WDR5_HUMAN","15960975, 22108599","histone methylation complex, histone acetylation complex",19556245,histone,"H3K4, H4K16","H3K4me, H4K16ac","H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN, H4_HUMAN",19556245,A multiprotein complex that mediates both methylation of 'Lys-4' of histone H3 (H3K4me) complex and acetylation of 'Lys-16' of histone H4 (H4K16ac).
54,10,MLL,MLL2/3,#,ASCOM,"ASH2L, RBBP5, WDR5, DPY30, one or more specific histone methyltransferases (MLL2/ALR and MLL3), and the facultative components PAGR1, BAP18, CHD8, E2F6, HCFC1, HCFC2, HSP70, INO80C, KDM6A, KANSL1, LAS1L, MAX, MCRS1, MEN1, MGA, KAT8/MOF, NCOA6, PAXIP1/PTIP, PELP1, PHF20, PRP31, RING2, RUVB1/TIP49A, RUVB2/TIP49B, SENP3, TAF1, TAF4, TAF6, TAF7, TAF9, TEX10 and alpha- and beta-tubulin","ASH2L_HUMAN, BAP18_HUMAN?, CHD8_HUMAN?, DPY30_HUMAN, E2F6_HUMAN?, HCFC1_HUMAN?, HCFC2_HUMAN?, HSP71_HUMAN?, IN80C_HUMAN?, KANL1_HUMAN?, KAT8_HUMAN?, KDM6A_HUMAN?, (KMT2B_HUMAN|KMT2C_HUMAN)+, LAS1L_HUMAN?, MAX_HUMAN?, MCRS1_HUMAN?, MEN1_HUMAN?, MGAP_HUMAN?, NCOA6_HUMAN?, PAGR1_HUMAN?, PAXI1_HUMAN?, PELP1_HUMAN?, PHF20_HUMAN?, PRP31_HUMAN?, RBBP5_HUMAN, RING2_HUMAN?, RUVB1_HUMAN?, RUVB2_HUMAN?, SENP3_HUMAN?, TAF1_HUMAN?, TAF4_HUMAN?, TAF6_HUMAN?, TAF7_HUMAN?, TAF9_HUMAN?, TEX10_HUMAN?, WDR5_HUMAN",17500065,"histone methylation complex, histone acetylation complex",17500065,histone,H3K4,H3K4me3,#,21330447,#
55,10,MLL,"COMPASS-like MLL1,2",#,#,"MLL1 or MLL2, MOF, Menin, ASH2L, DRY30, HCF1, RBBP5, WDR5","ASH2L_HUMAN, DPY30_HUMAN, HCFC1_HUMAN, KAT8_HUMAN, (KMT2A_HUMAN|KMT2D_HUMAN), MEN1_HUMAN, RBBP5_HUMAN, WDR5_HUMAN",22108599,"histone methylation complex, histone acetylation complex",22108599,histone,H4K16,H4K16ac,H4_HUMAN,22108599,Hox-family gene regulator; tumor supressor activity.
56,10,MLL,MLL4/WBP7,#,#,"ASH2L, RBBP5, WDR5, DPY30, MLL4/WBP7, and the facultative components PAGR1, BAP18, CHD8, E2F6, HCFC1, HCFC2, HSP70, INO80C, KDM6A, KANSL1, LAS1L, MAX, MCRS1, MEN1, MGA, KAT8/MOF, NCOA6, PAXIP1/PTIP, PELP1, PHF20, PRP31, RING2, RUVB1/TIP49A, RUVB2/TIP49B, SENP3, TAF1, TAF4, TAF6, TAF7, TAF9, TEX10 and alpha- and beta-tubulin","ASH2L_HUMAN, BAP18_HUMAN?, CHD8_HUMAN?, DPY30_HUMAN, E2F6_HUMAN?, HCFC1_HUMAN?, HCFC2_HUMAN?, HSP71_HUMAN?, IN80C_HUMAN?, KANL1_HUMAN?, KAT8_HUMAN?, KDM6A_HUMAN?, KMT2D_HUMAN, LAS1L_HUMAN?, MAX_HUMAN?, MCRS1_HUMAN?, MEN1_HUMAN?, MGAP_HUMAN?, PAGR1_HUMAN?, PAXI1_HUMAN?, PELP1_HUMAN?, PHF20_HUMAN?, PRP31_HUMAN?, RBBP5_HUMAN, RING2_HUMAN?, RUVB1_HUMAN?,RUVB2_HUMAN?, SENP3_HUMAN?, TAF1_HUMAN?, TAF4_HUMAN?, TAF6_HUMAN?, TAF7_HUMAN?, TAF9_HUMAN?, TEX10_HUMAN?, WDR5_HUMAN,",Uniprot,"histone methylation complex, histone acetylation complex",Uniprot,histone,#,#,#,#,#
57,10,MLL,"COMPASS-like MLL3,4",#,#,"MLL3 or MLL4, UTX, NCOA6, PA1, PTIP, ASH2L, DRY30, RBBP5, WDR5","ASH2L_HUMAN, DPY30_HUMAN, KDM6A_HUMAN, (KMT2B_HUMAN|KMT2C_HUMAN|KMT2D_HUMAN), NCOA6_HUMAN, PAGR1_HUMAN, PAXI1_HUMAN, RBBP5_HUMAN, WDR5_HUMAN",22108599,"histone demethylation complex, histone acetylation complex",22108599,histone,#,#,#,#,#
58,11,FACT,FACT,#,#,SSRP1 and SUPT16H,"SSRP1_HUMAN, SP16H_HUMAN",10421373,chromatin remodeling complex,16713563,"chromatin, histone","H2A, H2B",#,"H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN, H2B1A_HUMAN, H2B1B_HUMAN, H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B1O_HUMAN, H2B2C_HUMAN, H2B2D_HUMAN, H2B2E_HUMAN, H2B2F_HUMAN, H2B3B_HUMAN, H2BFM_HUMAN, H2BFS_HUMAN, H2BWT_HUMAN",16713563,"A general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment of the nucleosome following the passage of RNA polymerase II. The FACT complex is probably also involved in phosphorylation of 'Ser-392' of p53/TP53 via its association with CK2 (casein kinase II)."
59,12,SRCAP,SRCAP,#,#,"SRCAP, DMAP1, RUVBL1, RUVBL2, ACTL6A, YEATS4, ACTR6 and ZNHIT1","ACL6A_HUMAN, ARP6_HUMAN, DMAP1_HUMAN, SRCAP_HUMAN, RUVB1_HUMAN, RUVB2_HUMAN, YETS4_HUMAN, ZNHI1_HUMAN",15647280,chromatin remodeling complex,15647280,"chromatin, histone",histone dimers containing H2B and H2A.Z,"mononucleosomes reconstituted with recombinant H2A,H2B,H3,H4","H2AZ_HUMAN, H2B1A_HUMAN, H2B1B_HUMAN, H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B1O_HUMAN, H2B2C_HUMAN, H2B2D_HUMAN, H2B2E_HUMAN, H2B2F_HUMAN, H2B3B_HUMAN, H2BFM_HUMAN, H2BFS_HUMAN, H2BWT_HUMAN","16634648, 17617668","Mediates the ATP-dependent exchange of histone H2AZ/H2B dimers for nucleosomal H2A/H2B, leading to transcriptional regulation of selected genes by chromatin remodeling. SRCAP-containing complex supports ATP-dependent exchange of histone dimers containing H2B and H2A.Z into mononucleosomes reconstituted with recombinant H2A, H2B, H3, and H4."
60,13,DUB,BRISC,#,ABRO1,"FAM175B/ABRO1, BRCC3/BRCC36, BRE/BRCC45 and BABAM1/NBA1","BABA1_HUMAN, BRCC3_HUMAN, BRE_HUMAN, F175B_HUMAN",19214193,histone deubiquitination complex,19214193,histone,"H2Aub, H2AXub","H2A, H2AX","H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN",14636569,#
61,13,DUB,PR-DUB,#,#,BAP1 and ASXL1,"ASXL1_HUMAN, BAP1_HUMAN",20436459,histone deubiquitination complex,20436459,histone,H2AK119,H2AK119ub1,"H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN",20436459,A complex that specifically mediates deubiquitination of histone H2A monoubiquitinated at 'Lys-119' (H2AK119ub1).
62,13,DUB,BRCC,#,BRCA1/BRCA2 containing complex,"BRCA1, BRCA2, BARD1, BRE and RAD51","BRCA1_HUMAN, BRCA2_HUMAN, BARD1_HUMAN, BRE_HUMAN, RAD51_HUMAN",14636569,histone deubiquitination complex,14636569,histone,#,#,#,#,#
63,13,DUB,BRCA1-A,#,#,"BRCA1, BARD1, UIMC1/RAP80, FAM175A/Abraxas, BRCC3/BRCC36, BRE/BRCC45 and BABAM1/NBA1","BABA1_HUMAN, BARD1_HUMAN, BRCA1_HUMAN, BRCC3_HUMAN, BRE_HUMAN, F175A_HUMAN, UIMC1_HUMAN","19261746, 19261748, 19261749",histone deubiquitination complex,"19261746, 19261748, 19261749",histone,"H2AK63ub, H2AXK63ub","H2AK63, H2AXK63","H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN","19261746, 19261748, 19261749","A complex that specifically recognizes 'Lys-63'-linked ubiquitinated histones H2A and H2AX at DNA lesions sites, leading to target the BRCA1-BARD1 heterodimer to sites of DNA damage at double-strand breaks (DSBs). The BRCA1-A complex also possesses deubiquitinase activity that specifically removes 'Lys-63'-linked ubiquitin on histones H2A and H2AX."
64,14,CAF-1,CAF-1,#,#,"RBBP4, CHAF1B and CHAF1A","CAF1A_HUMAN, CAF1B_HUMAN, RBBP4_HUMAN",8858152,chromatin assembly complex,8858152,histone,"H3, H4",#,"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN, H4_HUMAN",8858152,"Complex that is thought to mediate chromatin assembly in DNA replication and DNA repair. Assembles histone octamers onto replicating DNA in vitro. CAF-1 performs the first step of the nucleosome assembly process, bringing newly synthesized histones H3 and H4 to replicating DNA; histones H2A/H2B can bind to this chromatin precursor subsequent to DNA replication to complete the histone octamer."
65,15,CREST-BRG1,CREST-BRG1,#,#,"SMARCA4/BRG1/BAF190A, SS18L1/CREST, HDAC1, RB1 and SP1","CREST_HUMAN, HDAC1_HUMAN, SMCA4_HUMAN, SP1_HUMAN, RB_HUMAN",Uniprot (by similarity),chromatin remodeling complex,Uniprot (by similarity),chromatin,#,#,#,#,A multiprotein complex that regulates promoter activation by orchestrating a calcium-dependent release of a repressor complex and a recruitment of an activator complex.
66,16,Exosome,RNA exosome,#,RNA exosome complex,"EXOSC4, EXOSC9, EXOSC5, EXOSC8, EXOSC6, EXOSC7, EXOSC1, EXOSC2 and EXOSC3","EXOS1_HUMAN, EXOS2_HUMAN, EXOS3_HUMAN, EXOS4_HUMAN, EXOS5_HUMAN, EXOS6_HUMAN, EXOS7_HUMAN, EXOS8_HUMAN, EXOS9_HUMAN",17174896,RNA exosome complex,17174896,RNA,#,#,#,#,#
67,17,PP,PPP4C-PPP4R2-PPP4R3A,#,PP4,"PPP4C, PPP4R2 and PPP4R3A","PP4C_HUMAN, PP4R2_HUMAN, P4R3A_HUMAN",18758438,dephosporylation complex,18758438,histone,H2AFXS139ph,H2AFXS139,#,18758438,#
68,18,L3MBTL1,L3MBTL1,#,#,"L3MBTL1, HP1gamma, pRB","CBX3_HUMAN, LMBL1_HUMAN, RB_HUMAN",17540172,chromatin remodeling complex,25482055,"chromatin, histone","H4K20me1, H4K20me2, H1bK26me1, H1bK26me2",#,"H14_HUMAN, H15_HUMAN, H4_HUMAN",17540172,#
69,19,CoREST,SCL,#,#,"SFMBT1, LSD1, CoREST","KDM1A_HUMAN, RCOR1_HUMAN, SMBT1_HUMAN",23592795,chromatin remodeling complex,25482055,histone,H4K20,#,H4_HUMAN,23592795,#
70,19,CoREST,LSD-CoREST,#,#,"CoREST, HDAC1, HDAC2, BHC80, BRAF35, CtBP, Znf217, Znf516, Znf198, KIAA0182, KIAA1343, HMG20A","CTBP1_HUMAN, GSE1_HUMAN, HDAC1_HUMAN, HDAC2_HUMAN, HM20A_HUMAN, HM20B_HUMAN, PF21A_HUMAN, RCOR1_HUMAN, RCOR3_HUMAN, ZMYM2_HUMAN, ZN217_HUMAN, ZN516_HUMAN","16140033, 16079794","histone demethylation complex, histone acetylation complex",25482055,histone,H3K4me3,#,"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN",#,#
71,20,WMM,WMM,New,"WTAP-METTL3-METTL14 N6-adenosine-methyltransferase complex, WTAP-METTL3-METTL14 methyltransferase complex, WMM methyltransferase complex
        ","METTL3, METTL14, WTAP, ZC3H13, CBLL1, VIRMA","MTA70_HUMAN, MET14_HUMAN, FL2D_HUMAN, ZC3HD_HUMAN, HAKAI_HUMAN, VIR_HUMAN",29348140,RNA methylation,24316715,"RNA, DNA","A of RNA, A of DNA",m6A,#,27281194,Regulates processes dependent on RNA stability as m6A methylation leads to RNA degradation. Controls cell differentiation of embryonic and hematopoietic stem cells by destabilization of transcripts. Involved in response to DNA-damage. Mediates random X-inactivation by methylation of Xist-RNA. Marks primary microRNAs for processing. Promotes translation.
72,21,Mis18,Mis18,New,#,"MIS18A, OIP5, MIS18BP1","MS18A_HUMAN, MS18B_HUMAN, M18BP_HUMAN",22516971,Chromatin remodeling,"22516971, 26942680",histone,CENPA,#,#,22516971,Regulates CENPA recruitment to centromeres and thereby normal chromosome segregation during mitosis. Interacts with DNMT3A/3B and provides it`s centromeric localization regulating epigenetic states of centromeric chromatin. Provides access of CENPA-specific chaperone HJURP to centromeres.
73,22,"CRL4-DDB2 E3 ubiquitin ligase complex, CUL4A, CUL4B variants","CRL4-DDB2 E3 ubiquitin ligase complex, CUL4A, CUL4B variants",New,"CUL4-DDB-ROC1 complex, CUL4-DDB-RBX1 complex","DDB2, DDB1, RBX1, CUL4B, CUL4A","DDB2_HUMAN, DDB1_HUMAN, RBX1_HUMAN, CUL4A_HUMAN, CUL4B_HUMAN  ",21550341,Histone ubiquitination complex,21550341,histone,#,#,#,21550341,Recognises UV-induced cyclobutane pyrimidine dimers in chromatin and ubiquitinates histones and other chromatin-associated proteins located around the DNA lesion. Promotes the removal of ubiquitinated histones from the nucleosome and subsequent DNA repair.